Live Date,Order Date,Order Number,Printed Date,Status,Status New,Shipping,Provider,Payment Type,"Tracking<br><input type=""text"" class=""form-control"">"
30-01-2025,30-01-2025,"<a data-order-id=""2215981"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_TORCC2040</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77745939025 target='_blank'  title='Get  Tracking data' class='fedex_link'>77745939025</a>
30-01-2025,29-01-2025,"<a data-order-id=""2214772"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2053</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,Prepaid,<a  href=https://courierupdates.com/?awb=77378786822 target='_blank'  title='Get  Tracking data' class='fedex_link'>77378786822</a>
23-01-2025,23-01-2025,"<a data-order-id=""2203121"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_230959Mihir</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,Prepaid,<a  href=https://courierupdates.com/?awb=77366548862 target='_blank'  title='Get  Tracking data' class='fedex_link'>77366548862</a>
30-01-2025,19-01-2025,"<a data-order-id=""2194465"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2051</a>",-,Returned,Returned,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77745872120 target='_blank'  title='Get  Tracking data' class='fedex_link'>77745872120</a>
17-01-2025,17-01-2025,"<a data-order-id=""2188995"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2049</a>",-,Returned,Returned,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77733653502 target='_blank'  title='Get  Tracking data' class='fedex_link'>77733653502</a>
30-01-2025,16-01-2025,"<a data-order-id=""2188969"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2048</a>",-,Returned,Returned,Qikink-Domestic,Delhivery Surface,COD,<a  href=https://courierupdates.com/?awb=18891410590435 target='_blank'  title='Get Delhivery Tracking data' class='fedex_link'>18891410590435</a>
17-01-2025,16-01-2025,"<a data-order-id=""2187989"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2047</a>",-,Returned,Returned,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77733987505 target='_blank'  title='Get  Tracking data' class='fedex_link'>77733987505</a>
17-01-2025,15-01-2025,"<a data-order-id=""2185122"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2046</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77734827424 target='_blank'  title='Get  Tracking data' class='fedex_link'>77734827424</a>
17-01-2025,14-01-2025,"<a data-order-id=""2183637"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2044</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,Prepaid,<a  href=https://courierupdates.com/?awb=77361273102 target='_blank'  title='Get  Tracking data' class='fedex_link'>77361273102</a>
14-01-2025,12-01-2025,"<a data-order-id=""2180277"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2042</a>",-,Returned,Returned,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77733099824 target='_blank'  title='Get  Tracking data' class='fedex_link'>77733099824</a>
14-01-2025,12-01-2025,"<a data-order-id=""2179540"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2041</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,Prepaid,<a  href=https://courierupdates.com/?awb=77362420623 target='_blank'  title='Get  Tracking data' class='fedex_link'>77362420623</a>
14-01-2025,11-01-2025,"<a data-order-id=""2177767"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2039</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77735126604 target='_blank'  title='Get  Tracking data' class='fedex_link'>77735126604</a>
08-01-2025,08-01-2025,"<a data-order-id=""2171241"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2038</a>",-,Delivered,Delivered,Qikink-Domestic,Bluedart Express,Prepaid,<a  href=https://courierupdates.com/?awb=81933788064 target='_blank'  title='Get  Tracking data' class='fedex_link'>81933788064</a>
14-01-2025,04-01-2025,"<a data-order-id=""2162999"" class=""get_order_info""title=""Order Info"" data-toggle=""tooltip"">172208_2037</a>",17-01-2025,RTO Initiated,RTO Initiated,Qikink-Domestic,Bluedart Surface,COD,<a  href=https://courierupdates.com/?awb=77736697953 target='_blank'  title='Get  Tracking data' class='fedex_link'>77736697953</a>
